velocity,Distance,Speed,SR,SplitD
3.68,13.05569444,3.749094598,,0.05111111111
3.66,13.10652778,3.739691233,,0.05083333333
3.63,13.15694444,3.729659329,,0.05041666667
3.64,13.2075,3.718885123,,0.05055555556
3.64,13.25805556,3.707855508,,0.05055555556
3.6,13.30805556,3.696762823,,0.05
3.57,13.35763889,3.685026594,,0.04958333333
3.58,13.40736111,3.672417047,,0.04972222222
3.6,13.45736111,3.659702353,,0.05
3.61,13.5075,3.647916122,,0.05013888889
3.61,13.55763889,3.637617257,,0.05013888889
3.58,13.60736111,3.628625274,,0.04972222222
3.54,13.65652778,3.620030603,,0.04916666667
3.55,13.70583333,3.611137369,,0.04930555556
3.57,13.75541667,3.602343667,,0.04958333333
3.55,13.80472222,3.594216693,,0.04930555556
3.53,13.85375,3.586521149,,0.04902777778
3.53,13.90277778,3.578883358,,0.04902777778
3.54,13.95194444,3.571475556,,0.04916666667
3.53,14.00097222,3.564600139,,0.04902777778
3.51,14.04972222,3.558100875,,0.04875
3.5,14.09833333,3.551574474,,0.04861111111
3.49,14.14680556,3.544810644,,0.04847222222
3.48,14.19513889,3.537751325,,0.04833333333
3.47,14.24333333,3.530363757,,0.04819444444
3.46,14.29138889,3.522635328,,0.04805555556
3.45,14.33930556,3.514568977,,0.04791666667
3.42,14.38680556,3.50599747,,0.0475
3.4,14.43402778,3.496541306,,0.04722222222
3.42,14.48152778,3.486311752,,0.0475
3.44,14.52930556,3.476237992,,0.04777777778
3.42,14.57680556,3.467010493,,0.0475
3.4,14.62402778,3.458388921,,0.04722222222
3.39,14.67111111,3.449898628,,0.04708333333
3.39,14.71819444,3.441451821,,0.04708333333
3.38,14.76513889,3.433162859,,0.04694444444
3.37,14.81194444,3.425020825,,0.04680555556
3.37,14.85875,3.417012201,,0.04680555556
3.36,14.90541667,3.409212867,,0.04666666667
3.37,14.95222222,3.401762923,,0.04680555556
3.37,14.99902778,3.394936347,,0.04680555556
3.38,15.04597222,3.389006601,,0.04694444444
3.38,15.09291667,3.384145963,,0.04694444444
3.35,15.13944444,3.380081216,,0.04652777778
3.32,15.18555556,3.375942741,,0.04611111111
3.36,15.23222222,3.371445147,,0.04666666667
3.39,15.27930556,3.367568826,,0.04708333333
3.4,15.32652778,3.365298262,,0.04722222222
3.39,15.37361111,3.364676651,33.41496599,0.04708333333
3.36,15.42027778,3.364949565,,0.04666666667
3.32,15.46638889,3.364883287,,0.04611111111
3.29,15.51208333,3.363293294,,0.04569444444
3.27,15.5575,3.359529256,,0.04541666667
3.31,15.60347222,3.354000689,,0.04597222222
3.34,15.64986111,3.348168815,,0.04638888889
3.32,15.69597222,3.343048517,,0.04611111111
3.3,15.74180556,3.338374834,,0.04583333333
3.31,15.78777778,3.333751313,,0.04597222222
3.31,15.83375,3.329333407,,0.04597222222
3.28,15.87930556,3.325048387,,0.04555555556
3.24,15.92430556,3.320110077,,0.045
3.23,15.96916667,3.313771517,,0.04486111111
3.23,16.01402778,3.306069132,,0.04486111111
